"","LAT","LON","SPEED","COURSE","HEADING","DESTINATION","FLAG","LENGTH","SHIPNAME","SHIPTYPE","SHIP_ID","WIDTH","DWT","DATETIME","PORT","date","week_nb","ship_type","port","is_parked"
"695900",54.45763,18.66767,2,202,511,"GDANSK,POLAND","RU",62,"BOOTES",2,3351142,13,452,"2016-12-19T14:53:15Z","gdynia","2016-12-19",51,"Fishing","Gdynia",1
"2925838",59.88245,30.19039,0,0,85,"ST PETERSBURG","LR",168,"CHARLOTTA B",7,758887,27,17822,"2016-12-20T06:13:03Z","st_petersburg","2016-12-20",51,"Cargo","St. Petersburg",1
"39001",54.3792,18.65995,0,320,166,"GDANSK,POLAND","GR",253,"MINERVA ALICE",8,214595,44,114850,"2016-12-15T07:07:02Z","gdansk","2016-12-15",50,"Tanker","Gdańsk",1
"1573169",57.71097,11.65843,0,0,511,"CLASS B","SE",30,"POLSTJERNAN",6,1104090,7,0,"2016-12-13T16:57:07Z","gothenborg","2016-12-13",50,"Passenger","gothenborg",1
"582408",54.79599,18.42037,0,119,26,"WLADYSLAWOWO","PL",32,"IMOR",3,317202,10,0,"2016-12-19T10:25:07Z","gdynia","2016-12-19",51,"Tug","Gdynia",1
"2037129",55.68057,21.13801,85,163,158,"KLAIPEDA","LT",28,"TAK-10",3,3483512,10,443,"2016-12-19T20:15:06Z","klaipeda","2016-12-19",51,"Tug","Klaipeda",0
"827481",57.68901,11.87781,0,310,32,"GOTHENBURG","GB",182,"MARIE KIRK",8,197150,27,37217,"2016-12-13T12:09:08Z","gothenborg","2016-12-13",50,"Tanker","gothenborg",1
"1422489",57.64489,11.85835,0,138,19,"FISHING","SE",37,"SUNNANLAND",2,326496,10,0,"2016-12-15T14:35:09Z","gothenborg","2016-12-15",50,"Fishing","gothenborg",1
"1449404",57.68106,11.9057,1,176,511,"STATIC","SE",0,"RAMANTENN",0,326665,0,NA,"2016-12-19T16:41:05Z","gothenborg","2016-12-19",51,"Unspecified","gothenborg",1
"833862",57.66915,11.8024,0,255,343,"GOTHENBURG","GI",118,"BOTHNIA",8,204358,18,8985,"2016-12-18T06:41:07Z","gothenborg","2016-12-18",51,"Tanker","gothenborg",1
"2009930",55.78376,20.86016,0,302,303,"LV VNT>LT KLJ","MH",195,"UZAVA",8,712156,32,52650,"2016-12-17T07:13:06Z","klaipeda","2016-12-17",51,"Tanker","Klaipeda",1
"1583094",57.67455,11.66472,0,247,163,NA,"SE",21,"SANDEFJORD",2,1193771,7,0,"2016-12-17T03:45:05Z","gothenborg","2016-12-17",51,"Fishing","gothenborg",1
"1733695",57.74984,11.65438,0,175,511,"CLASS B","SE",10,"DAISY",9,4561378,4,NA,"2016-12-17T14:31:05Z","gothenborg","2016-12-17",51,"Pleasure","gothenborg",1
"2701541",59.90922,30.22427,0,201,511,"SPB","RU",60,"SEVERYANKA",8,350723,11,1621,"2016-12-19T07:37:03Z","st_petersburg","2016-12-19",51,"Tanker","St. Petersburg",1
"921800",57.70436,11.93906,1,185,336,"LONGYEARBYEN","SE",39,"ORIGO",6,320177,8,0,"2016-12-16T23:09:05Z","gothenborg","2016-12-16",51,"Passenger","gothenborg",1
"2777613",59.86834,30.21737,0,82,511,"SAINT PETERSBURG","RU",25,"ALBATROSS",2,352381,6,36,"2016-12-18T01:37:04Z","st_petersburg","2016-12-18",51,"Fishing","St. Petersburg",1
"944058",57.71865,11.97327,0,325,324,"GOTHENBURG","SE",40,"STOCKHOLM",7,320466,9,0,"2016-12-13T15:55:08Z","gothenborg","2016-12-13",50,"Cargo","gothenborg",1
"48719",54.39265,18.67096,0,226,37,"GDANSK","NL",133,"DONGEBORG",7,260071,15,8867,"2016-12-19T09:45:02Z","gdansk","2016-12-19",51,"Cargo","Gdańsk",1
"1013378",57.69928,11.66711,0,237,244,"STENUNGSUND","SE",92,"ADA",6,321088,14,700,"2016-12-16T18:53:05Z","gothenborg","2016-12-16",51,"Passenger","gothenborg",1
"2864645",59.88492,30.20427,0,148,134,"ISKENDERUN","PA",183,"ADASTRA",7,732836,30,46493,"2016-12-20T08:11:04Z","st_petersburg","2016-12-20",51,"Cargo","St. Petersburg",1
"135488",54.60357,18.80057,0,194,511,"HEL","PL",17,"HEL 23",2,315903,5,NA,"2016-12-20T01:17:02Z","gdansk","2016-12-20",51,"Fishing","Gdańsk",1
"1047284",57.70467,11.93931,0,340,247,"STYRSOBOLAGET FERRY","SE",32,"ALVSNABBEN 3",6,321589,8,NA,"2016-12-15T14:15:05Z","gothenborg","2016-12-15",50,"Passenger","gothenborg",1
"2044930",55.72749,21.07877,133,109,511,"CLASS B","LT",15,"VAKARIS",3,3722773,5,NA,"2016-12-16T02:35:06Z","klaipeda","2016-12-16",51,"Tug","Klaipeda",0
"1038468",57.77215,11.6189,0,161,48,"3:E MAN","SE",16,"RESCUE MARTA COLLIN",3,321341,5,NA,"2016-12-17T08:23:05Z","gothenborg","2016-12-17",51,"Tug","gothenborg",1
"2979309",59.88137,30.22792,0,0,98,"KR#-PETESBURG","RU",60,"KEILA",8,2420192,10,1621,"2016-12-14T19:33:04Z","st_petersburg","2016-12-14",50,"Tanker","St. Petersburg",1
"1842706",54.68643,20.25205,1,0,511,"CLASS B","RU",54,"NATALIJA GONCHAROVA",8,350706,9,NA,"2016-12-14T22:03:03Z","kalingrad","2016-12-14",50,"Tanker","Kalingrad",1
"248291",54.36553,18.65534,0,254,113,"GDANSK","LV",25,"AGNESE",2,352224,7,31,"2016-12-16T09:45:02Z","gdansk","2016-12-16",51,"Fishing","Gdańsk",1
"1222931",57.70783,11.6594,0,204,511,"CLASS B","SE",0,"EBBA HARD",9,323258,0,NA,"2016-12-18T19:43:05Z","gothenborg","2016-12-18",51,"Pleasure","gothenborg",1
"555173",54.51921,18.55856,1,83,511,"GDYNIA PL","PL",94,"DAR MLODZIEZY",9,316664,14,667,"2016-12-19T03:29:06Z","gdynia","2016-12-19",51,"Pleasure","Gdynia",1
"2699104",59.90922,30.22427,0,201,511,"SPB","RU",60,"SEVERYANKA",8,350723,11,1621,"2016-12-17T14:53:03Z","st_petersburg","2016-12-17",51,"Tanker","St. Petersburg",1
"903604",57.66346,11.94328,0,250,511,"CLASS B","SE",6,"FURUNO SVERIGE AB",9,319865,2,NA,"2016-12-19T21:19:05Z","gothenborg","2016-12-19",51,"Pleasure","gothenborg",1
"105190",54.37371,18.77733,33,160,168,"GDYNIA","PL",22,"TUCANA",3,315719,6,NA,"2016-12-15T14:23:02Z","gdansk","2016-12-15",50,"Tug","Gdańsk",0
"1176251",57.69095,11.89193,0,0,21,"CLASS B","SE",15,"SAXKRAN NR 2",9,322861,7,NA,"2016-12-15T20:07:07Z","gothenborg","2016-12-15",50,"Pleasure","gothenborg",1
